taxon,genus,species,w,d_area,w_area,sv,wl,elev_min,elev_max,lat_max,lat_min,long_max,long_min,pc1,pc2
1,A,1,1,2.585184826,1.397925655,1384.50,81.91080955,1689.712985,1994.91788,51.8681276,41.86284822,-64.19038221,-147.5138022,0.375658987,-0.12140942
2,A,2,1,3.745421488,3.211071538,1051.11,91.49770198,3298.264902,3247.961272,48.9606444,28.07035567,91.69493138,83.55698507,0.154076466,0.162209063
3,A,3,1,0.905276096,1.378419044,609.66,100.3380926,1629.905794,1391.259401,24.21851936,6.193551655,87.25049029,-98.70696125,0.239422566,-0.070279379
4,A,4,1,1.822416239,3.579194036,428.88,7.347268582,2393.639511,1846.204543,65.48165172,-37.95701642,-110.3771303,126.7244737,-0.104682628,0.031223695
5,A,5,1,1.772392685,3.935514164,902.38,11.72200108,1224.970247,4267.074535,22.94942461,-43.13937376,-49.05650512,100.9020774,-0.127233376,0.119381974
6,A,6,1,4.72122022,1.826321187,1313.05,118.6638765,3432.785297,3571.454926,34.72912625,0.93037687,60.34003057,7.706712489,0.231798022,0.139695255
7,A,7,1,4.286227892,0.074976,1366.59,5.680512814,3245.499335,2674.74554,42.39559278,2.465213226,2.065390238,-76.32374712,-0.159246799,0.138168751
8,A,8,1,0.582003238,3.880439951,465.80,83.24650176,2555.273433,458.0612216,42.82518094,-7.392858532,165.4408578,78.66280066,-0.025727251,-0.0463207
9,A,9,1,1.589374508,0.950066967,74.67,104.1704157,411.6007953,4136.741627,39.67479661,-22.71524538,20.36626907,-56.74937499,-0.057992926,-0.0638997
10,A,10,1,2.189672702,2.59694938,581.96,102.5998824,3153.026522,776.1558086,42.9425509,-7.77174986,-20.08840556,-11.41810711,0.305811266,0.128402701
11,A,11,1,2.556149019,1.368093952,961.77,11.02868222,1638.083169,818.5880078,35.77353511,30.68400287,11.92490186,-7.743986093,0.015845824,-0.007358821
12,A,12,1,2.94313091,1.822496487,749.08,107.4004907,750.8585514,4347.897026,61.5109619,48.29591337,78.95449239,3.685904515,0.04737023,-0.112754405
13,A,13,1,3.328293792,1.920684617,1037.34,156.4372191,925.8426136,2956.776414,30.8433231,22.43819358,-106.9111716,-147.3951275,0.213342242,0.064832714
14,A,14,1,2.510758537,0.303286611,872.51,86.16265207,437.5450847,994.8207335,21.54944588,21.6573142,12.51882595,-152.9407591,0.404932128,0.052142853
15,A,15,1,4.392672146,2.388719731,165.80,121.226645,1778.946445,1267.493515,34.18928612,-22.10871396,-118.6409981,-126.6807552,-0.184210173,0.078213453
16,A,16,1,1.229252797,3.323650811,1196.27,72.20014614,2595.888032,3508.483292,34.87005885,35.65964141,-115.4749655,54.72911001,-0.037655228,-0.04416657
17,A,17,1,1.404991837,3.857612369,696.24,6.263122609,1934.892789,237.4154467,40.62732745,39.45966311,-68.51722986,-66.0997434,-0.012817194,-0.153819528
18,A,18,1,3.580787776,2.687857964,75.70,106.2919999,3171.418114,3922.840658,30.13881263,-11.29733748,109.0891128,-43.7322537,0.359590982,-0.153752574
19,A,19,1,4.395077728,2.718589884,581.80,16.7304332,2348.67212,511.9053099,27.24260585,-40.61644053,29.30727077,33.78902248,0.308682234,0.063100578
20,A,20,1,0.217804586,2.388882783,41.64,12.05371592,2035.232176,3181.994864,58.52828621,-16.50361082,117.2227893,11.49604083,0.255048334,0.076018662
21,A,21,1,1.829567848,1.562447467,359.10,91.03991973,937.1121607,3788.176519,16.86507049,-25.90874005,-18.84421405,22.52164455,0.407465637,-0.003748043
22,A,22,1,2.214696704,1.049813206,1355.19,56.35323686,2026.763269,2243.535836,60.45496488,-33.79838689,-75.93139901,-51.22613726,0.025789536,0.113268667
23,A,23,1,1.18498003,1.434194543,1254.20,4.767646672,844.4545511,1962.100244,27.72234783,28.45662318,47.25777438,-108.6285294,-0.010838605,0.031296608
24,A,24,1,1.940867607,3.198354398,60.65,171.4793244,2619.732561,1277.049106,68.41269039,-42.59224034,-9.673482574,54.81710394,4.51E-05,0.039302012
25,A,25,1,4.138081359,2.738285514,1205.43,22.91656235,3301.19462,2414.335155,45.6524989,-38.93513129,71.71946385,-148.7645072,0.098170796,0.087968344
26,A,26,1,0.488653868,2.005368018,623.46,45.73661342,2647.1294,2388.36964,26.03946827,41.77309227,-112.38485,-51.94208918,0.057487429,-0.155699088
27,A,27,1,2.955025476,1.550979276,941.53,29.95142613,711.2581147,1389.264107,61.22059907,-32.24679383,-118.3441726,-136.9663515,0.18243084,-0.045125958
28,A,28,1,2.895984031,1.793089556,1366.10,182.4720333,2287.080024,4126.735735,34.90306364,-18.66260287,153.0414359,-76.47982973,0.334481836,-0.005878727
29,A,29,1,2.940822093,2.832672034,783.10,12.8094406,3196.289313,1506.569262,59.81043979,17.17285578,40.79558881,60.32585326,0.170416487,0.037417145
30,A,30,1,0.944794435,3.856867509,1043.65,37.01411673,2895.121019,3941.857917,21.04965519,-26.95637519,-76.83979609,-157.425299,-0.077621448,0.056799949
31,A,31,1,4.480896124,3.158373387,590.74,79.38044023,3070.748767,972.0513741,33.35024593,-28.11890065,95.25989997,-88.14995746,-0.087161968,0.132334701
32,A,32,1,0.830730906,2.428615168,1038.89,12.14768056,2631.770501,2315.79445,69.01326622,5.778807636,38.97175942,-32.45253628,0.328228962,0.032178102
33,A,33,1,1.722562506,1.299884419,78.68,89.2269268,110.2799097,835.087082,69.54939519,-11.10340701,0.5740748,-155.584833,0.187175209,-0.043740034
34,A,34,1,0.431963084,3.733374656,565.81,174.8356015,1420.202034,2194.304885,46.8848668,6.851384564,-12.86245215,-94.69583417,-0.04291473,0.11032707
35,B,35,1,3.882307692,0.067596837,678.00,184.5444089,2075.643491,3656.320012,15.90887324,31.10273005,-93.92470807,7.287248953,0.0161928,0.001510943
36,B,36,1,2.29456439,2.374371857,217.51,20.24058638,1969.271576,1544.966257,45.29713599,28.43411157,49.21143177,83.97048688,-0.058658261,0.051808992
37,C,37,1,1.108698142,2.316204554,1176.21,185.7988938,939.6710518,2748.657163,53.77456558,-1.18875344,-89.82384187,80.51097335,0.257767155,-0.052054072
38,C,38,1,4.032949168,2.805624104,94.36,78.65878034,2920.550309,1991.650173,38.08185718,-40.97323682,118.0467874,11.20007121,0.215154771,0.074901897
39,C,39,1,1.669944264,3.404922498,1279.50,56.55396411,1374.821789,2921.754414,66.32316492,19.23291644,21.98571318,55.40737092,-0.042970853,-0.155439916
40,D,40,1,3.71279866,0.315685575,60.89,65.31319939,2938.705997,364.1401929,50.7578692,-8.076527216,-20.58047884,130.1246726,0.12292714,0.08689718
41,D,41,1,0.266886258,3.583406641,238.83,132.7820287,3066.226779,3233.332995,69.56562161,7.14338066,88.39183356,120.3708895,0.185435594,-0.012756496
42,D,42,1,4.795137244,3.072166263,477.18,65.31379583,2420.197754,3849.405213,45.00288861,-14.30731169,-91.08892546,11.70441446,-0.014395682,0.063392229
43,D,43,1,2.994069499,0.539928438,648.37,20.69050354,409.333267,2711.582394,33.42995225,3.989185339,109.3637065,89.7479235,0.113525908,0.108145709
44,D,44,1,2.753611783,2.911334782,763.97,25.73919802,393.6538982,4226.492544,55.15098258,37.61017463,104.3144243,-125.1220319,-0.160092408,0.021260356
45,D,45,1,4.003340745,3.078038336,756.52,126.9316385,2054.872366,2400.39684,16.00429609,23.00800513,-78.24632147,107.8934182,0.330297925,-0.111424096
46,D,46,1,2.317691472,2.201252524,1329.04,117.1231036,3100.585943,1755.132062,70.41753277,47.18356561,-19.42949663,-53.7344967,-0.179921996,-0.090990401
47,E,47,1,2.622740751,3.634254017,155.75,29.88336146,1436.681712,4087.961014,18.30075097,-1.547454871,45.03792424,-56.69592062,0.260985637,0.054775697
48,F,48,1,2.248219283,1.391765305,1330.38,25.84919539,2999.249503,2961.319676,44.91126404,-12.34697497,131.6272063,-22.89863859,-0.010624656,0.087421827
49,F,49,1,2.962507255,1.202375395,435.22,41.12162519,1268.756827,2464.696858,36.87792017,-0.343358239,-44.60883779,39.88624111,-0.034693879,-0.154059423
50,F,50,1,1.204639225,0.170148703,718.22,20.02128799,3314.265305,981.7585806,41.92012576,-13.4418967,68.87272214,-97.3793058,0.095098787,-0.006751828
51,F,51,1,0.582030069,1.378392421,406.21,148.5765055,3037.97968,3102.408519,35.96652418,18.72537387,-61.71374777,117.0104056,0.403057365,0.035306379
52,F,52,1,3.008307211,1.84711198,904.98,4.255607175,1418.179562,4242.713426,59.55595352,45.05994343,42.48538752,-43.9988598,0.254607323,0.068579484
53,F,53,1,0.806081541,2.91901565,596.93,32.92120955,2356.805568,4688.188034,44.56716318,-36.08359105,66.82407682,59.16388153,0.328613794,0.117664594
54,F,54,1,2.200191707,1.31785572,623.18,7.781365121,1506.258366,1168.89494,57.20087408,27.39214445,-60.3908661,-59.37888919,0.000458347,0.093448326
55,F,55,1,0.428071516,0.427894108,518.36,38.27972465,1571.053311,2912.744075,18.97171608,3.546956,100.4390173,10.72614048,-0.137284819,0.151392908
56,F,56,1,1.540020796,3.364483912,151.10,30.25606078,1838.643145,923.0135924,65.71965239,33.78015826,56.40329468,-79.16576255,-0.084129559,-0.108602581
57,F,57,1,3.270799363,0.715424757,436.68,37.70297456,2037.22015,2322.816718,32.82605643,18.01430346,112.606814,107.4857841,-0.082943344,0.091703887
58,F,58,1,3.421817111,3.298882683,242.27,151.8220919,2295.848283,2985.10351,38.22058789,-15.82544069,121.801353,-157.3732771,-0.135132832,-0.020036613
59,F,59,1,0.515792849,3.099885149,1278.42,68.31561074,3444.017707,2803.695066,70.99632414,-19.57104213,139.1449579,-4.698337324,-0.01188164,0.047946208
60,F,60,1,4.574952776,3.424675167,479.79,100.9852126,2690.832256,4325.433279,39.97203318,15.79416386,125.4499578,64.8356816,-0.032372429,-0.053476867
61,F,61,1,3.257551275,1.327651865,747.62,64.71454089,3253.88651,1870.012815,34.71855101,-9.636566767,12.77973405,-150.9999834,-0.03391716,0.139233292
62,F,62,1,4.652584402,3.53229024,504.43,8.204062768,1846.320966,2829.339997,38.30531202,-41.25000134,103.6867383,2.148093052,-0.05891208,-0.134888516
63,F,63,1,3.668044346,2.921258074,273.28,71.59571789,3319.294062,1681.820079,70.07962832,40.05760643,133.246279,-157.4622501,0.403457531,-0.120726741
64,F,64,1,2.479095683,2.839899382,1021.83,120.6486059,1916.799383,3050.993482,54.21896494,-41.12540558,119.8163496,-120.387463,0.184966723,-0.003980255
